data;preco_br;;;;
05/06/1998;14,03;;;;
08/06/1998;13,8;;;;
09/06/1998;13,71;;;;
10/06/1998;13,75;;;;
12/06/1998;13,76;;;;
15/06/1998;13,63;;;;
16/06/1998;13,76;;;;
17/06/1998;14,07;;;;
18/06/1998;14,12;;;;
19/06/1998;14,61;;;;
22/06/1998;14,53;;;;
23/06/1998;14,84;;;;
24/06/1998;14,92;;;;
25/06/1998;14,86;;;;
26/06/1998;14,81;;;;
29/06/1998;14,17;;;;
30/06/1998;14,46;;;;
01/07/1998;14,46;;;;
02/07/1998;14,46;;;;
03/07/1998;14,47;;;;
06/07/1998;14,32;;;;
07/07/1998;14,64;;;;
08/07/1998;14,85;;;;
10/07/1998;14,56;;;;
13/07/1998;14,6;;;;
14/07/1998;14,5;;;;
15/07/1998;14,29;;;;
16/07/1998;14,38;;;;
17/07/1998;14,45;;;;
20/07/1998;14,14;;;;
21/07/1998;14,01;;;;
22/07/1998;13,8;;;;
23/07/1998;13,77;;;;
24/07/1998;13,71;;;;
27/07/1998;13,69;;;;
28/07/1998;13,69;;;;
29/07/1998;13,75;;;;
30/07/1998;13,84;;;;
31/07/1998;13,77;;;;
03/08/1998;13,68;;;;
04/08/1998;13,57;;;;
05/08/1998;13,51;;;;
06/08/1998;13,43;;;;
07/08/1998;13,4;;;;
10/08/1998;13,52;;;;
11/08/1998;13,58;;;;
12/08/1998;13,6;;;;
13/08/1998;13,64;;;;
14/08/1998;13,69;;;;
17/08/1998;13,75;;;;
18/08/1998;13,84;;;;
19/08/1998;14,2;;;;
20/08/1998;14,26;;;;
21/08/1998;14,18;;;;
24/08/1998;14,21;;;;
25/08/1998;14,26;;;;
26/08/1998;14,32;;;;
27/08/1998;14,26;;;;
28/08/1998;14,2;;;;
31/08/1998;14,19;;;;
01/09/1998;14,22;;;;
02/09/1998;14,27;;;;
03/09/1998;14,31;;;;
04/09/1998;14,39;;;;
08/09/1998;14,39;;;;
09/09/1998;14,4;;;;
10/09/1998;14,47;;;;
11/09/1998;14,6;;;;
14/09/1998;14,74;;;;
15/09/1998;14,78;;;;
16/09/1998;14,76;;;;
17/09/1998;14,78;;;;
18/09/1998;14,78;;;;
21/09/1998;14,74;;;;
22/09/1998;14,73;;;;
23/09/1998;14,74;;;;
24/09/1998;14,8;;;;
25/09/1998;14,81;;;;
28/09/1998;14,79;;;;
29/09/1998;14,73;;;;
30/09/1998;14,69;;;;
01/10/1998;14,61;;;;
02/10/1998;14,58;;;;
05/10/1998;14,59;;;;
06/10/1998;14,56;;;;
07/10/1998;14,67;;;;
08/10/1998;14,64;;;;
09/10/1998;14,97;;;;
13/10/1998;14,95;;;;
14/10/1998;15;;;;
15/10/1998;14,99;;;;
16/10/1998;15,08;;;;
19/10/1998;15;;;;
20/10/1998;14,99;;;;
21/10/1998;14,92;;;;
22/10/1998;14,91;;;;
23/10/1998;14,84;;;;
26/10/1998;14,77;;;;
27/10/1998;14,74;;;;
28/10/1998;14,74;;;;
29/10/1998;14,73;;;;
30/10/1998;14,73;;;;
03/11/1998;14,76;;;;
04/11/1998;14,78;;;;
05/11/1998;14,79;;;;
06/11/1998;14,77;;;;
09/11/1998;14,78;;;;
10/11/1998;14,92;;;;
11/11/1998;15;;;;
12/11/1998;15,05;;;;
13/11/1998;15,01;;;;
16/11/1998;15,03;;;;
17/11/1998;15,06;;;;
18/11/1998;15,06;;;;
19/11/1998;15,05;;;;
20/11/1998;15,05;;;;
23/11/1998;14,9;;;;
24/11/1998;14,84;;;;
25/11/1998;14,76;;;;
26/11/1998;14,72;;;;
27/11/1998;14,78;;;;
30/11/1998;14,88;;;;
